2 3 4 F  0 8 1 7  6 C E B  D 9 A 5
8 A E 0  5 D 4 B  F 7 9 1  C 6 3 2
C 5 7 D  6 E 2 9  0 4 3 A  F 1 B 8
B 9 1 6  A 3 C F  8 2 D 5  E 7 4 0

D 7 A 4  B 9 6 E  2 0 5 C  3 8 1 F
3 B 0 E  1 2 8 4  A F 6 9  7 5 D C

F 8 C 5  7 0 3 D  E 1 B 4  6 A 2 9

6 1 9 2  F 5 A C  D 8 7 3  B E 0 4


5 4 D B  C A E 2  7 9 F 0  8 3 6 1

A 6 F 7  8 B 9 0  3 5 1 D  4 2 C E

1 E 2 3  D 4 7 5  C B 8 6  9 0 F A

0 C 8 9  3 1 F 6  4 E A 2  5 D 7 B


9 F B A  2 7 5 3  1 D 4 E  0 C 8 6
E 0 6 8  9 C D A  B 3 2 F  1 4 5 7

7 D 5 C  4 6 B 1  9 A 0 8  2 F E 3
4 2 3 1  E F 0 8  5 6 C 7  A B 9 D
